id,package,function,name,value
flare.data.DataField,flare,data,DataField,1759
flare.data.DataSchema,flare,data,DataSchema,2165
flare.data.DataSet,flare,data,DataSet,586
flare.data.DataSource,flare,data,DataSource,3331
flare.data.DataTable,flare,data,DataTable,772
flare.data.DataUtil,flare,data,DataUtil,3322
flare.display.DirtySprite,flare,display,DirtySprite,8833
flare.display.LineSprite,flare,display,LineSprite,1732
flare.display.RectSprite,flare,display,RectSprite,3623
flare.display.TextSprite,flare,display,TextSprite,10066
flare.flex.FlareVis,flare,flex,FlareVis,4116
flare.physics.DragForce,flare,physics,DragForce,1082
flare.physics.GravityForce,flare,physics,GravityForce,1336
flare.physics.IForce,flare,physics,IForce,319
flare.physics.NBodyForce,flare,physics,NBodyForce,10498
flare.physics.Particle,flare,physics,Particle,2822
flare.physics.Simulation,flare,physics,Simulation,9983
flare.physics.Spring,flare,physics,Spring,2213
flare.physics.SpringForce,flare,physics,SpringForce,1681
flare.query.AggregateExpression,flare,query,AggregateExpression,1616
flare.query.And,flare,query,And,1027
flare.query.Arithmetic,flare,query,Arithmetic,3891
flare.query.Average,flare,query,Average,891
flare.query.BinaryExpression,flare,query,BinaryExpression,2893
flare.query.Comparison,flare,query,Comparison,5103
flare.query.CompositeExpression,flare,query,CompositeExpression,3677
flare.query.Count,flare,query,Count,781
flare.query.DateUtil,flare,query,DateUtil,4141
flare.query.Distinct,flare,query,Distinct,933
flare.query.Expression,flare,query,Expression,5130
flare.query.ExpressionIterator,flare,query,ExpressionIterator,3617
flare.query.Fn,flare,query,Fn,3240
flare.query.If,flare,query,If,2732
flare.query.IsA,flare,query,IsA,2039
flare.query.Literal,flare,query,Literal,1214
flare.query.Match,flare,query,Match,3748
flare.query.Maximum,flare,query,Maximum,843
flare.query.methods._,flare,query,methods,264
flare.query.methods.add,flare,query,methods,593
flare.query.methods.and,flare,query,methods,330
flare.query.methods.average,flare,query,methods,287
flare.query.methods.count,flare,query,methods,277
flare.query.methods.distinct,flare,query,methods,292
flare.query.methods.div,flare,query,methods,595
flare.query.methods.eq,flare,query,methods,594
flare.query.methods.fn,flare,query,methods,460
flare.query.methods.gt,flare,query,methods,603
flare.query.methods.gte,flare,query,methods,625
flare.query.methods.iff,flare,query,methods,748
flare.query.methods.isa,flare,query,methods,461
flare.query.methods.lt,flare,query,methods,597
flare.query.methods.lte,flare,query,methods,619
flare.query.methods.max,flare,query,methods,283
flare.query.methods.min,flare,query,methods,283
flare.query.methods.mod,flare,query,methods,591
flare.query.methods.mul,flare,query,methods,603
flare.query.methods.neq,flare,query,methods,599
flare.query.methods.not,flare,query,methods,386
flare.query.methods.or,flare,query,methods,323
flare.query.methods.orderby,flare,query,methods,307
flare.query.methods.range,flare,query,methods,772
flare.query.methods.select,flare,query,methods,296
flare.query.methods.stddev,flare,query,methods,363
flare.query.methods.sub,flare,query,methods,600
flare.query.methods.sum,flare,query,methods,280
flare.query.methods.update,flare,query,methods,307
flare.query.methods.variance,flare,query,methods,335
flare.query.methods.where,flare,query,methods,299
flare.query.methods.xor,flare,query,methods,354
flare.query.Minimum,flare,query,Minimum,843
flare.query.Not,flare,query,Not,1554
flare.query.Or,flare,query,Or,970
flare.query.Query,flare,query,Query,13896
flare.query.Range,flare,query,Range,1594
flare.query.StringUtil,flare,query,StringUtil,4130
flare.query.Sum,flare,query,Sum,791
flare.query.Variable,flare,query,Variable,1124
flare.query.Variance,flare,query,Variance,1876
flare.query.Xor,flare,query,Xor,1101
flare.scale.IScaleMap,flare,scale,IScaleMap,2105
flare.scale.LinearScale,flare,scale,LinearScale,1316
flare.scale.LogScale,flare,scale,LogScale,3151
flare.scale.OrdinalScale,flare,scale,OrdinalScale,3770
flare.scale.QuantileScale,flare,scale,QuantileScale,2435
flare.scale.QuantitativeScale,flare,scale,QuantitativeScale,4839
flare.scale.RootScale,flare,scale,RootScale,1756
flare.scale.Scale,flare,scale,Scale,4268
flare.scale.ScaleType,flare,scale,ScaleType,1821
flare.scale.TimeScale,flare,scale,TimeScale,5833
flare.util.Arrays,flare,util,Arrays,8258
flare.util.Colors,flare,util,Colors,10001
flare.util.Dates,flare,util,Dates,8217
flare.util.Displays,flare,util,Displays,12555
flare.util.Filter,flare,util,Filter,2324
flare.util.Geometry,flare,util,Geometry,10993
flare.util.heap.FibonacciHeap,flare,util,heap,9354
flare.util.heap.HeapNode,flare,util,heap,1233
flare.util.IEvaluable,flare,util,IEvaluable,335
flare.util.IPredicate,flare,util,IPredicate,383
flare.util.IValueProxy,flare,util,IValueProxy,874
flare.util.math.DenseMatrix,flare,util,math,3165
flare.util.math.IMatrix,flare,util,math,2815
flare.util.math.SparseMatrix,flare,util,math,3366
flare.util.Maths,flare,util,Maths,17705
flare.util.Orientation,flare,util,Orientation,1486
flare.util.palette.ColorPalette,flare,util,palette,6367
flare.util.palette.Palette,flare,util,palette,1229
flare.util.palette.ShapePalette,flare,util,palette,2059
flare.util.palette.SizePalette,flare,util,palette,2291
flare.util.Property,flare,util,Property,5559
flare.util.Shapes,flare,util,Shapes,19118
flare.util.Sort,flare,util,Sort,6887
flare.util.Stats,flare,util,Stats,6557
flare.util.Strings,flare,util,Strings,22026
flare.vis.axis.Axes,flare,vis,axis,1302
flare.vis.axis.Axis,flare,vis,axis,24593
flare.vis.axis.AxisGridLine,flare,vis,axis,652
flare.vis.axis.AxisLabel,flare,vis,axis,636
flare.vis.axis.CartesianAxes,flare,vis,axis,6703
flare.vis.controls.AnchorControl,flare,vis,controls,2138
flare.vis.controls.ClickControl,flare,vis,controls,3824
flare.vis.controls.Control,flare,vis,controls,1353
flare.vis.controls.ControlList,flare,vis,controls,4665
flare.vis.controls.DragControl,flare,vis,controls,2649
flare.vis.controls.ExpandControl,flare,vis,controls,2832
flare.vis.controls.HoverControl,flare,vis,controls,4896
flare.vis.controls.IControl,flare,vis,controls,763
flare.vis.controls.PanZoomControl,flare,vis,controls,5222
flare.vis.controls.SelectionControl,flare,vis,controls,7862
flare.vis.controls.TooltipControl,flare,vis,controls,8435
flare.vis.data.Data,flare,vis,data,20544
flare.vis.data.DataList,flare,vis,data,19788
flare.vis.data.DataSprite,flare,vis,data,10349
flare.vis.data.EdgeSprite,flare,vis,data,3301
flare.vis.data.NodeSprite,flare,vis,data,19382
flare.vis.data.render.ArrowType,flare,vis,data,698
flare.vis.data.render.EdgeRenderer,flare,vis,data,5569
flare.vis.data.render.IRenderer,flare,vis,data,353
flare.vis.data.render.ShapeRenderer,flare,vis,data,2247
flare.vis.data.ScaleBinding,flare,vis,data,11275
flare.vis.data.Tree,flare,vis,data,7147
flare.vis.data.TreeBuilder,flare,vis,data,9930
flare.vis.events.DataEvent,flare,vis,events,2313
flare.vis.events.SelectionEvent,flare,vis,events,1880
flare.vis.events.TooltipEvent,flare,vis,events,1701
flare.vis.events.VisualizationEvent,flare,vis,events,1117
flare.vis.legend.Legend,flare,vis,legend,20859
flare.vis.legend.LegendItem,flare,vis,legend,4614
flare.vis.legend.LegendRange,flare,vis,legend,10530
flare.vis.operator.distortion.BifocalDistortion,flare,vis,operator,4461
flare.vis.operator.distortion.Distortion,flare,vis,operator,6314
flare.vis.operator.distortion.FisheyeDistortion,flare,vis,operator,3444
flare.vis.operator.encoder.ColorEncoder,flare,vis,operator,3179
flare.vis.operator.encoder.Encoder,flare,vis,operator,4060
flare.vis.operator.encoder.PropertyEncoder,flare,vis,operator,4138
flare.vis.operator.encoder.ShapeEncoder,flare,vis,operator,1690
flare.vis.operator.encoder.SizeEncoder,flare,vis,operator,1830
flare.vis.operator.filter.FisheyeTreeFilter,flare,vis,operator,5219
flare.vis.operator.filter.GraphDistanceFilter,flare,vis,operator,3165
flare.vis.operator.filter.VisibilityFilter,flare,vis,operator,3509
flare.vis.operator.IOperator,flare,vis,operator,1286
flare.vis.operator.label.Labeler,flare,vis,operator,9956
flare.vis.operator.label.RadialLabeler,flare,vis,operator,3899
flare.vis.operator.label.StackedAreaLabeler,flare,vis,operator,3202
flare.vis.operator.layout.AxisLayout,flare,vis,operator,6725
flare.vis.operator.layout.BundledEdgeRouter,flare,vis,operator,3727
flare.vis.operator.layout.CircleLayout,flare,vis,operator,9317
flare.vis.operator.layout.CirclePackingLayout,flare,vis,operator,12003
flare.vis.operator.layout.DendrogramLayout,flare,vis,operator,4853
flare.vis.operator.layout.ForceDirectedLayout,flare,vis,operator,8411
flare.vis.operator.layout.IcicleTreeLayout,flare,vis,operator,4864
flare.vis.operator.layout.IndentedTreeLayout,flare,vis,operator,3174
flare.vis.operator.layout.Layout,flare,vis,operator,7881
flare.vis.operator.layout.NodeLinkTreeLayout,flare,vis,operator,12870
flare.vis.operator.layout.PieLayout,flare,vis,operator,2728
flare.vis.operator.layout.RadialTreeLayout,flare,vis,operator,12348
flare.vis.operator.layout.RandomLayout,flare,vis,operator,870
flare.vis.operator.layout.StackedAreaLayout,flare,vis,operator,9121
flare.vis.operator.layout.TreeMapLayout,flare,vis,operator,9191
flare.vis.operator.Operator,flare,vis,operator,2490
flare.vis.operator.OperatorList,flare,vis,operator,5248
flare.vis.operator.OperatorSequence,flare,vis,operator,4190
flare.vis.operator.OperatorSwitch,flare,vis,operator,2581
flare.vis.operator.SortOperator,flare,vis,operator,2023
flare.vis.Visualization,flare,vis,Visualization,16540
